traffic_control_type,visibility,light,road_surface_condition,classification_of_accident,injury,driver_condition,speeding,aggressive_and_disturbed_driving,alcohol,disability
No Control,Clear,"Daylight, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Unknown,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Rain,"Dusk, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,"Dusk, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,Had Been Drinking,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,Unknown,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Major,None,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Inattentive,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,"Ability Impaired, Alcohol Over .08",Yes,Yes,Yes,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Minimal,Normal,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Minimal,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Had Been Drinking,None,None,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Unknown,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,Unknown,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Unknown,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Rain,"Daylight, artificial",Wet,Fatal,None,Normal,None,None,None,None
No Control,Rain,"Daylight, artificial",Wet,Fatal,Fatal,None,None,None,None,None
No Control,Rain,Dawn,Wet,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Rain,Dawn,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Had Been Drinking,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,Unknown,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Unknown,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
Traffic Signal,Rain,"Dawn, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,"Dawn, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,"Ability Impaired, Drugs",Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,Yes,Yes,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,Unknown,Yes,Yes,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Fatal,None,Unknown,None,None,None,None
No Control,Clear,"Dusk, artificial",Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,"Dusk, artificial",Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,"Dusk, artificial",Dry,Fatal,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Controller,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Controller,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Minor,None,None,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Rain,Dark,Dry,Fatal,None,Unknown,None,None,None,None
No Control,Rain,Dark,Dry,Fatal,None,Unknown,None,None,None,None
No Control,Rain,Dark,Dry,Fatal,None,Unknown,None,None,None,None
No Control,Rain,Dark,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Minimal,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,Normal,None,None,None,None
Traffic Signal,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,None,Inattentive,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,Unknown,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Major,"Ability Impaired, Drugs",None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Inattentive,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dawn, artificial",Dry,Fatal,None,None,None,None,None,None
No Control,Clear,"Dawn, artificial",Dry,Fatal,Major,None,None,None,None,None
No Control,Clear,"Dawn, artificial",Dry,Fatal,Minor,Unknown,None,None,None,None
